N,observable,numeric,theory,deviation,tol,verdict
2,unitarity_norm,0.9999999999999997,1.0,3.3306690738754696e-16,1e-10,PASS
2,unitarity_global_purity,0.9999999999999996,1.0,1.3322676295501878e-15,1e-10,PASS
2,global_S_vN,1.1102230246251564e-16,0.0,1.1102230246251564e-16,1e-10,PASS
2,microreversibility,0.0,0.0,0.0,1e-10,PASS
2,net_entropy_production_per_period,0.0,0.0,0.0,1e-08,PASS
2,coherence_vs_theory,1.1657341758564144e-15,0.0,1.1657341758564144e-15,1e-08,PASS
2,revival_height,0.4999999999999999,0.5,1.1102230246251565e-16,1e-06,PASS
2,recurrence_time,3.141592653589793,3.141592653589793,0.0,0.005,PASS
2,dephasing_time_tstar,0.562345084992573,0.6324555320336759,0.11085435021124901,0.15,PASS
4,unitarity_norm,0.9999999999999998,1.0,2.220446049250313e-16,1e-10,PASS
4,unitarity_global_purity,1.0,1.0,1.3322676295501878e-15,1e-10,PASS
4,global_S_vN,-0.0,0.0,0.0,1e-10,PASS
4,microreversibility,0.0,0.0,0.0,1e-10,PASS
4,net_entropy_production_per_period,0.0,0.0,0.0,1e-08,PASS
4,coherence_vs_theory,1.4363510381087963e-15,0.0,1.4363510381087963e-15,1e-08,PASS
4,revival_height,0.5000000000000001,0.5,1.1102230246251565e-16,1e-06,PASS
4,recurrence_time,3.141592653589793,3.141592653589793,0.0,0.005,PASS
4,dephasing_time_tstar,0.2419026343264141,0.25819888974716115,0.0631151258500957,0.15,PASS
6,unitarity_norm,0.9999999999999988,1.0,1.2212453270876722e-15,1e-10,PASS
6,unitarity_global_purity,0.9999999999999982,1.0,4.6629367034256575e-15,1e-10,PASS
6,global_S_vN,2.2204460492503103e-15,0.0,2.2204460492503103e-15,1e-10,PASS
6,microreversibility,0.0,0.0,0.0,1e-10,PASS
6,net_entropy_production_per_period,1.9984014443252798e-15,0.0,1.9984014443252798e-15,1e-08,PASS
6,coherence_vs_theory,2.3175905639050143e-15,0.0,2.3175905639050143e-15,1e-08,PASS
6,revival_height,0.49999999999999906,0.5,9.43689570931383e-16,1e-06,PASS
6,recurrence_time,3.141592653589793,3.141592653589793,0.0,0.005,PASS
6,dephasing_time_tstar,0.1445132620651305,0.14824986333222026,0.025204753536374216,0.15,PASS
8,unitarity_norm,0.9999999999999996,1.0,4.440892098500626e-16,1e-10,PASS
8,unitarity_global_purity,1.0,1.0,1.5543122344752192e-15,1e-10,PASS
8,global_S_vN,-0.0,0.0,0.0,1e-10,PASS
8,microreversibility,0.0,0.0,0.0,1e-10,PASS
8,net_entropy_production_per_period,0.0,0.0,0.0,1e-08,PASS
8,coherence_vs_theory,2.103785895490873e-15,0.0,2.103785895490873e-15,1e-08,PASS
8,revival_height,0.5000000000000001,0.5,1.1102230246251565e-16,1e-06,PASS
8,recurrence_time,3.141592653589793,3.141592653589793,0.0,0.005,PASS
8,dephasing_time_tstar,0.0973893722612836,0.09901475429766743,0.01641555390318355,0.15,PASS
10,unitarity_norm,0.9999999999999996,1.0,4.440892098500626e-16,1e-10,PASS
10,unitarity_global_purity,0.9999999999999997,1.0,1.7763568394002505e-15,1e-10,PASS
10,global_S_vN,1.1102230246251564e-16,0.0,1.1102230246251564e-16,1e-10,PASS
10,microreversibility,0.0,0.0,0.0,1e-10,PASS
10,net_entropy_production_per_period,-4.440892098500625e-16,0.0,4.440892098500625e-16,1e-08,PASS
10,coherence_vs_theory,3.7573545294029224e-15,0.0,3.7573545294029224e-15,1e-08,PASS
10,revival_height,0.5000000000000003,0.5,3.3306690738754696e-16,1e-06,PASS
10,recurrence_time,3.141592653589793,3.141592653589793,0.0,0.005,PASS
10,dephasing_time_tstar,0.07225663103256524,0.07207499701564472,0.0025200697112910697,0.15,PASS
