N,level,sigma,lam,theta_inv_residual,H_reality_residual,stationarity_residual,norm_drift,global_purity_dev,dSred_two_sided,dSred_pair_sum,v_theta,v_Hreal,v_stat,v_norm,v_purity,v_dSpair,excluded
4,1,+,0.0,0.0,0.0,7.753237211109911e-17,8.881784197001252e-16,3.552713678800501e-15,0.0007381257766592153,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
4,1,-,0.0,0.0,0.0,7.753237211109911e-17,8.881784197001252e-16,3.552713678800501e-15,-0.0007381257766592153,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
4,2a,+,0.0,0.0,0.0,7.753237211109911e-17,1.8065549056700547e-12,7.226219622680219e-12,0.0024257336829160425,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
4,2a,-,0.0,0.0,0.0,7.753237211109911e-17,1.8065549056700547e-12,7.226219622680219e-12,-0.0024257336829160425,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
4,2b,+,0.0,0.0,0.0,7.753237211109911e-17,8.881784197001252e-16,3.552713678800501e-15,0.004107565558555737,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
4,2b,-,0.0,0.0,0.0,7.753237211109911e-17,8.881784197001252e-16,3.552713678800501e-15,-0.004107565558555737,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,1,+,0.0,0.0,0.0,5.714240596254552e-16,1.7763568394002505e-15,7.105427357601002e-15,-0.0006886439728300275,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,1,-,0.0,0.0,0.0,5.714240596254552e-16,1.7763568394002505e-15,7.105427357601002e-15,0.0006886439728300275,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,2a,+,0.0,0.0,0.0,5.714240596254552e-16,2.9342084317818262e-12,1.1736389637917455e-11,-0.002026528669413441,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,2a,-,0.0,0.0,0.0,5.714240596254552e-16,2.9342084317818262e-12,1.1736389637917455e-11,0.002026528669413441,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,2b,+,0.0,0.0,0.0,5.714240596254552e-16,1.7763568394002505e-15,7.105427357601002e-15,0.0001462461585067243,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,2b,-,0.0,0.0,0.0,5.714240596254552e-16,1.7763568394002505e-15,7.105427357601002e-15,-0.0001462461585067243,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,1,+,0.0,0.0,0.0,6.375531343308715e-16,2.6645352591003757e-15,1.0658141036401503e-14,-0.0004026385383987252,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,1,-,0.0,0.0,0.0,6.375531343308715e-16,2.6645352591003757e-15,1.0658141036401503e-14,0.0004026385383987252,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,2a,+,0.0,0.0,0.0,6.375531343308715e-16,1.5445422718585178e-12,6.178169087434071e-12,0.00018927962074233307,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,2a,-,0.0,0.0,0.0,6.375531343308715e-16,1.5445422718585178e-12,6.178169087434071e-12,-0.00018927962074233307,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,2b,+,0.0,0.0,0.0,6.375531343308715e-16,2.6645352591003757e-15,1.0658141036401503e-14,0.0005924994630642222,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,2b,-,0.0,0.0,0.0,6.375531343308715e-16,2.6645352591003757e-15,1.0658141036401503e-14,-0.0005924994630642222,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,1,+,0.0,0.0,0.0,1.393164851321336e-15,4.6629367034256575e-15,1.865174681370263e-14,-6.0567553314405664e-05,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,1,-,0.0,0.0,0.0,1.393164851321336e-15,4.6629367034256575e-15,1.865174681370263e-14,6.0567553314405664e-05,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,2a,+,0.0,0.0,0.0,1.393164851321336e-15,2.660094367001875e-13,1.06403774680075e-12,-7.244890166452356e-05,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,2a,-,0.0,0.0,0.0,1.393164851321336e-15,2.660094367001875e-13,1.06403774680075e-12,7.244890166452356e-05,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,2b,+,0.0,0.0,0.0,1.393164851321336e-15,4.6629367034256575e-15,1.865174681370263e-14,6.972194005583354e-06,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,2b,-,0.0,0.0,0.0,1.393164851321336e-15,4.6629367034256575e-15,1.865174681370263e-14,-6.972194005583354e-06,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
