block,sigma_B,N_modes,lam,p_g,two_pg_m1,W_abs,W_em,A_dir,fit_slope_C,fit_intercept,fit_R2,gate,status,note
D1,+,128,,,,62.17199593004177,2.1381256749123398e-26,,,,,ratio<=1e-8,PASS,first-order channels; ratio P_em/P_abs=3.439e-28
D1,-,128,,,,2.1381256749123398e-26,62.17199593004177,,,,,|Pabs(-)-Pem(+)|<=1e-10,PASS,exact abs<->em exchange; residual=0.000e+00
D1,+,128,1e-2,1.0,1.0,5.062951550592595e-16,,,,,,P_abs>0,PASS,ENGINE A exact-unitary RWA cross-check; unit_res=3.77e-14
D1,-,128,1e-2,1.0,1.0,1.5455747170969382e-21,,,,,,suppressed,INFO,ENGINE A: resonant absorption off by 2Omega under sigma_B=-
D2,+,64,1e-03,0.50,0.00,5.105086554140728e-18,5.105084499704397e-18,1.0272181655470777e-24,,,,,,sweep point
D2,+,64,1e-03,0.60,0.20,5.105086554140728e-18,5.105084499704397e-18,1.0210181326026778e-18,,,,,,sweep point
D2,+,64,1e-03,0.75,0.50,5.105086554140728e-18,5.105084499704397e-18,2.5525437906794468e-18,,,,,,sweep point
D2,+,64,1e-03,0.90,0.80,5.105086554140728e-18,5.105084499704397e-18,4.0840694487562165e-18,,,,,,sweep point
D2,+,64,1e-03,1.00,1.00,5.105086554140728e-18,5.105084499704397e-18,5.105086554140728e-18,,,,,,sweep point
D2-fit,+,64,1e-03,,,5.105086554140728e-18,5.105084499704397e-18,,5.105085526922563e-18,1.0272181652233148e-24,1.0,R2>=0.999 & |b|<=3sig_num,PASS,sig_num=|W_abs-W_em|=2.05e-24 ; b/C=2.01e-07 ; unit_res=7.28e-14
D2,+,64,3e-03,0.50,0.00,4.591501111784482e-17,4.5914993581359027e-17,8.768242896814453e-24,,,,,,sweep point
D2,+,64,3e-03,0.60,0.20,4.591501111784482e-17,4.5914993581359027e-17,9.183009238163278e-18,,,,,,sweep point
D2,+,64,3e-03,0.75,0.50,4.591501111784482e-17,4.5914993581359027e-17,2.295750994304386e-17,,,,,,sweep point
D2,+,64,3e-03,0.90,0.80,4.591501111784482e-17,4.5914993581359027e-17,3.6732010647924436e-17,,,,,,sweep point
D2,+,64,3e-03,1.00,1.00,4.591501111784482e-17,4.5914993581359027e-17,4.591501111784482e-17,,,,,,sweep point
D2-fit,+,64,3e-03,,,4.591501111784482e-17,4.5914993581359027e-17,,4.591500234960192e-17,8.768242894941519e-24,1.0,R2>=0.999 & |b|<=3sig_num,PASS,sig_num=|W_abs-W_em|=1.75e-23 ; b/C=1.91e-07 ; unit_res=9.46e-14
D2,+,64,1e-02,0.50,0.00,5.062951395148816e-16,5.062950816708392e-16,2.89220211731838e-23,,,,,,sweep point
D2,+,64,1e-02,0.60,0.20,5.062951395148816e-16,5.062950816708392e-16,1.0125905104059322e-16,,,,,,sweep point
D2,+,64,1e-02,0.75,0.50,5.062951395148816e-16,5.062950816708392e-16,2.5314758421845136e-16,,,,,,sweep point
D2,+,64,1e-02,0.90,0.80,5.062951395148816e-16,5.062950816708392e-16,4.050361173963095e-16,,,,,,sweep point
D2,+,64,1e-02,1.00,1.00,5.062951395148816e-16,5.062950816708392e-16,5.062951395148816e-16,,,,,,sweep point
D2-fit,+,64,1e-02,,,5.062951395148816e-16,5.062950816708392e-16,,5.062951105928604e-16,2.8922021119749944e-23,1.0,R2>=0.999 & |b|<=3sig_num,PASS,sig_num=|W_abs-W_em|=5.78e-23 ; b/C=5.71e-08 ; unit_res=9.53e-14
D3,+,64,1e-02,0.50,0.00,5.062951395148816e-16,5.062950816708392e-16,2.89220211731838e-23,5.062951105928604e-16,2.8922021119749944e-23,1.0,(no gate),EXPLORATORY,A_dir(0.5)=2.892e-23 ; max_nonlin=9.861e-32
D3,+,64,3e-02,0.50,0.00,4.261447206973153e-15,4.261447121634599e-15,4.266927692083419e-23,4.261447164303876e-15,4.266927657499841e-23,1.0,(no gate),EXPLORATORY,A_dir(0.5)=4.267e-23 ; max_nonlin=5.916e-31
