N,tau,m_tau,N_records,W_over_kT_ln2,neglnP_direct,ledger_neglnP_over_N
4,0.5,0.008181230868723419,1,1,0.0015,0.0015
4,0.55,0.011978140114897961,1,1,0.0015,0.0015
4,0.6000000000000001,0.01696460032938489,2,2,0.003,0.0015
4,0.6500000000000001,0.023366413484160974,2,2,0.003,0.0015
4,0.7000000000000002,0.03142901650528792,3,3,0.0045000000000000005,0.0015000000000000002
4,0.7500000000000002,0.04141748127291236,5,5,0.0075,0.0015
4,0.8000000000000003,0.05361651462126587,6,6,0.009000000000000001,0.0015000000000000002
4,0.8500000000000003,0.06833045833866497,8,8,0.012,0.0015
4,0.9000000000000004,0.08588328916751109,10,10,0.015,0.0015
4,0.9500000000000004,0.10661861880429065,13,13,0.0195,0.0015
4,1.0000000000000004,0.13089969389957493,16,16,0.024,0.0015
4,1.0500000000000005,0.1591093960580202,19,19,0.0285,0.0015
4,1.1000000000000005,0.1916502418383677,23,23,0.0345,0.0015
4,1.1500000000000006,0.22894438275344348,28,28,0.042,0.0015
4,1.2000000000000006,0.2714336052701587,33,33,0.0495,0.0015
4,1.2500000000000007,0.31957933080950923,39,39,0.0585,0.0015
4,1.3000000000000007,0.37386261574657614,46,46,0.069,0.0015
4,1.3500000000000008,0.4347841514105252,54,54,0.081,0.0015
4,1.4000000000000008,0.5028642640846073,62,62,0.093,0.0015
4,1.4500000000000008,0.5786429150061583,72,72,0.108,0.0015
4,1.5000000000000009,0.6626797003665984,82,82,0.123,0.0015
4,1.550000000000001,0.7555538513114338,94,94,0.14100000000000001,0.0015000000000000002
4,1.600000000000001,0.8578642339402549,107,107,0.1605,0.0015
4,1.650000000000001,0.9702293493067369,121,121,0.1815,0.0015
4,1.700000000000001,1.0932873334186406,136,136,0.20400000000000001,0.0015
4,1.750000000000001,1.227695957237811,153,153,0.2295,0.0015
4,1.8000000000000012,1.374132626680179,171,171,0.2565,0.0015
4,1.8500000000000012,1.533294382615759,191,191,0.28650000000000003,0.0015000000000000002
