N,observable,valor_numerico,valor_teorico,desviacion,veredicto
2,norma,3.3306690738754696e-16,0.0,3.3306690738754696e-16,PASS
2,pureza_global,1.3322676295501878e-15,0.0,1.3322676295501878e-15,PASS
2,entropia_global_max,2.6167961002718265e-14,0.0,2.6167961002718265e-14,PASS
2,T_recurrencia,7.0,49.879237156711824,0.859661045376311,FAIL
2,decaimiento_irreversible,0.0,0.0,,PASS
4,norma,3.3306690738754696e-16,0.0,3.3306690738754696e-16,PASS
4,pureza_global,1.3322676295501878e-15,0.0,1.3322676295501878e-15,PASS
4,entropia_global_max,2.627936758307289e-14,0.0,2.627936758307289e-14,PASS
4,T_recurrencia,7.0,49.879237156711824,0.859661045376311,FAIL
4,decaimiento_irreversible,0.0,0.0,,PASS
6,norma,3.3306690738754696e-16,0.0,3.3306690738754696e-16,PASS
6,pureza_global,1.3322676295501878e-15,0.0,1.3322676295501878e-15,PASS
6,entropia_global_max,9.724152773479857e-14,0.0,9.724152773479857e-14,PASS
6,T_recurrencia,7.0,49.879237156711824,0.859661045376311,FAIL
6,decaimiento_irreversible,0.0,0.0,,PASS
8,norma,3.3306690738754696e-16,0.0,3.3306690738754696e-16,PASS
8,pureza_global,1.3322676295501878e-15,0.0,1.3322676295501878e-15,PASS
8,entropia_global_max,9.251952047859519e-14,0.0,9.251952047859519e-14,PASS
8,T_recurrencia,7.0,49.879237156711824,0.859661045376311,FAIL
8,decaimiento_irreversible,0.0,0.0,,PASS
